,adg
0,46724581628
1,61477462725
2,62589383945
3,62589383945
4,46724581628
5,62589482065
6,126733863807
7,67441804237
8,118216881010
9,46724581628
10,46724581628
11,46724585188
12,118216881010
13,62589383945
14,58613330770
15,46724581628
16,46724581628
17,58613330770
18,46724581628
19,73019156532
20,62589383945
21,63912889335
22,46724581628
23,62589383945
24,63912889335
25,63912889335
26,58527617970
27,46724585188
28,46724581628
29,46724581628
30,62589383945
31,62589383945
32,46724581628
33,126242467572
34,62589383945
35,54995537263
36,62589383945
37,46724581628
38,46724581628
39,69331918055
40,51242788069
41,58613330770
42,46724581428
43,46724581428
44,46724581628
45,62589383945
46,64629789553
47,54995537263
48,114160419969
49,68028002833
50,63912889335
51,61474769222
52,62589383945
53,46724581628
54,46724581628
55,58613330770
56,46724581628
57,46724581628
58,65960618375
59,68652743168
60,62589482065
61,46724581628
62,46724581628
63,46724581628
64,46724581428
65,73019156532
66,46724582868
67,46724581628
68,62589383945
69,46724581628
70,46724587148
71,46724587148
72,106303761004
73,46724581628
74,46724581628
75,126242467572
76,64092327565
77,46724581628
78,46724581628
79,67441804237
80,118216881250
81,124865734793
82,60556557005
83,62589383945
84,54995539343
85,51242788069
86,46724584708
87,46724587148
88,60556557005
89,60556557005
90,46724588388
91,64092328045
92,126242468092
93,64092328045
94,46724581628
95,62589383945
96,46724581628
97,62589383945
98,62589383945
99,118216881250
100,46724581628
101,64629789553
102,46724587148
103,46724581628
104,61477462725
105,46724581628
106,46724581628
107,46724581628
108,46724581628
109,60556557005
110,69331918055
111,46724581628
112,46724581628
113,54995537263
114,118216881290
115,46724581428
116,46724581628
117,54995537263
118,46724581428
119,65960618775
120,46724583028
121,54995537263
122,54995537263
123,54995537263
124,54995537263
125,61477462725
126,63912889335
127,46724581628
128,62589383945
129,46724581628
130,73019156532
131,46724581628
132,64629789553
133,46724581628
134,67025934670
135,62589383945
136,58613330770
137,46724581628
138,67025934670
139,46724581628
140,46724587148
141,51242788069
142,46724585188
143,62589383945
144,60556557005
145,46724581628
146,46724581628
147,46724581628
148,46724581628
149,58613330770
150,46724581628
151,46724585188
152,64322688685
153,46724581628
154,46724581628
155,68652743168
156,64322688685
157,126733863807
158,77157998339
159,46724585188
160,114160419969
161,46724581628
162,62589383945
163,46724581628
164,46724581628
165,64092327525
166,64322689605
167,46724581628
168,63912889335
169,64322688885
170,60556557005
171,63348451389
172,46724585188
173,46724581628
174,67025934670
175,67025934670
176,126733864047
177,106303760844
178,46724581628
179,126733863807
180,62589383945
181,46724581428
182,62589383945
183,46724581628
184,46724581628
185,62589383945
186,46724581428
187,58613330770
188,46724581428
189,63912889335
190,59797137541
191,46724581428
192,77157998339
193,65960618775
194,46724581628
195,46724585188
196,64092327525
197,58613330770
198,46724581628
199,62589383945
200,69331918055
201,62589383945
202,63912889335
203,62589383945
204,62589383945
205,62589383945
206,62589383945
207,63466490776
208,58613330770
209,62589383945
210,63466490776
211,46724581428
212,64092327565
213,68652743168
214,77157998339
215,46724581628
216,67275878133
217,68652743168
218,46724581428
219,67441804237
220,46724581628
221,58613330770
222,61477462725
223,46724581628
224,46724581628
225,46724581428
226,62589383945
227,46724581628
228,58613330770
229,46724585188
230,46724587148
231,46724581628
232,46724581628
233,46724581628
234,46724587148
235,64092327765
236,64092327765
237,46724587148
238,46724581628
239,62589482065
240,61474769502
241,46724587148
242,62589383945
243,46724581628
244,46724581628
245,46724581628
246,46724581628
247,46724581628
248,46724581628
249,54995537263
250,58613330770
251,46724581628
252,62589383945
253,46724581628
254,46724581628
255,126733863807
256,69987197984
257,62589383945
258,46724581628
259,46724581628
260,46724581628
261,67025934670
262,46724581628
263,46724581628
264,54995539343
265,64629789553
266,46724585188
267,46724581628
268,62589383945
269,64092327765
270,46724587148
271,58613330770
272,64092327765
273,64092327765
274,62589383945
275,126733863807
276,46724581628
277,62589383945
278,46724581628
279,58613330770
280,64629789553
281,58527617970
282,46724581628
283,46724581628
284,46724581428
285,58613330770
286,62589383945
287,46724587148
288,46724581628
289,46724581628
290,46724581628
291,46724581628
292,46724581628
293,62589383945
294,46724581628
295,46724581628
296,64629789553
297,58613330770
298,46724581628
299,126733863807
300,62589383945
301,65960618775
302,65960618375
303,65960618375
304,46724581628
305,46724581628
306,46724587148
307,46724581428
308,46724581628
309,62589383945
310,64629789553
311,46724581628
312,77894363186
313,67025934670
314,62589383945
315,46724581628
316,46724581628
317,46724587148
318,46724581628
319,67025934670
320,126733863807
321,67025934670
322,67025934670
323,126733863807
324,46724585188
325,63912889335
326,67441804237
327,73019156532
328,64629789553
329,126733863807
330,46724585188
331,46724585188
332,73019156532
333,62589383945
334,46724581628
335,64092328045
336,46724585188
337,46724585188
338,46724581628
339,67025934670
340,46724581628
341,46724581628
342,62589383945
343,58527968130
344,46724581628
345,62589383945
346,62589383945
347,46724581628
348,62589383945
349,58613330770
350,64092327765
351,46724581628
352,46724581628
353,46724581628
354,65960618775
355,58527617970
356,46724581428
357,64354805232
358,46724581628
359,46724581428
360,46724581428
361,46724581628
362,46724581628
363,46724581628
364,62589383945
365,46724581628
366,61477462725
367,46724581428
368,46724581628
369,46724581628
370,62589383945
371,46724581628
372,46724581628
373,46724581628
374,62589383945
375,46724581628
376,58527617970
377,46724581628
378,46724581628
379,46724581628
380,62589383945
381,65960618775
382,46724581428
383,58527617970
384,62589383945
385,46724587148
386,62589461225
387,64629789553
388,46724581628
389,46724581628
390,46724581628
391,62589383945
392,46724581628
393,46724581428
394,64629789553
395,62589383945
396,62589383945
397,62589383945
398,46724584708
399,46724585188
400,64629789553
401,62589482065
402,46724581628
403,46724581628
404,62589383945
405,46724581628
406,62589383945
407,62589383945
408,68563611488
409,58613330770
410,46724581628
411,64092327965
412,46724581628
413,46724581428
414,46724581628
415,46724581628
416,46724581628
417,62589383945
418,58613330770
419,67277037573
420,46724581628
421,65960618775
422,63912889335
423,106303760844
424,62589383945
425,62589383945
426,62589383945
427,58613330770
428,46724587148
429,62589383945
430,54995539343
431,62589383945
432,61477462725
433,68563611488
434,46724581428
435,62589383945
436,46724581628
437,46724581628
438,46724581628
439,62589383945
440,46724581428
441,46724581628
442,46724581628
443,68652743168
444,46724581628
445,46724581628
446,46724581628
447,68652743168
448,46724585508
449,114160419969
450,58613330770
451,46724581628
452,62589383945
453,61477462725
454,62589383945
455,46724581628
456,64092327765
457,64629789553
458,58613330770
459,67025934670
460,46724581628
461,46724581628
462,67025934670
463,46724585188
464,46724585188
465,46724581628
466,58613330770
467,62589383945
468,61477462725
469,46724581628
470,58613330770
471,46724581628
472,51242788069
473,62699238226
474,58613330770
475,63912889335
476,46724581628
477,63912889335
478,46724584708
479,46724581628
480,58613330770
481,46724581628
482,62699238226
483,46724585188
484,62589383945
485,46724581628
486,62589383945
487,58613330770
488,46724585188
489,62589383945
490,62589383945
491,62589383945
492,46724585188
493,46724581628
494,46724581628
495,58613330770
496,64629789553
497,46724581628
498,46724581628
499,62589383945
500,64629789553
501,61477462725
502,46724585188
503,46724581628
504,46724581628
505,73019156532
506,46724581628
507,46724581628
508,46724581628
509,46724581628
510,46724585188
511,62589383945
512,46724585188
513,64092327765
514,46724585188
515,46724581628
516,65960618775
517,46724581628
518,46724581628
519,46724585188
520,46724581628
521,65960618775
522,56880991425
523,64092327965
524,65960618775
525,56880991425
526,46724581628
527,64629789553
528,73019156532
529,46724581628
530,46724584708
531,62589383945
532,46724581628
533,58527617970
534,46724587148
535,46724587148
536,46724585508
537,62589383945
538,61477462725
539,46724581628
540,46724581628
541,46724581628
542,46724582868
543,65960618775
544,62589383945
545,62589383945
546,64092327565
547,46724581628
548,54995537263
549,56880991425
550,65960618775
551,46724581628
552,64629789553
553,73019156532
554,46724581628
555,46724581428
556,73019156532
557,46724581628
558,62699232466
559,62699232466
560,62589482105
561,54995537263
562,62589383945
563,69331918055
564,46724581628
565,46724581428
566,46724581628
567,46724581628
568,62589383945
569,46724581628
570,62589383945
571,62589383945
572,46724581628
573,64322688885
574,68909884980
575,64092327525
576,46724581628
577,46724581628
578,46724581628
579,46724581628
580,46724587148
581,46724581628
582,46724581628
583,46724581628
584,62589383945
585,58527617970
586,46724581428
587,62589383945
588,69331918055
589,46724581628
590,46724581628
591,62589383945
592,62589383945
593,46724581628
594,126733863807
595,64629789553
596,64092327565
597,46724581628
598,46724581628
599,63912889335
600,62589383945
601,46724581628
602,46724581628
603,46724581628
604,46724581628
605,62589383945
606,58527617970
607,46724581628
608,62589383945
609,46724581628
610,46724581428
611,77894363186
612,46724581428
613,62589383945
614,46724581628
615,46724587148
616,62589383945
617,62589383945
618,118216881250
619,1250145102821751
620,46724581628
621,65960618375
622,118216881290
623,77157998339
624,46724585188
625,65960618775
626,64629789553
627,64629789553
628,58527617970
629,62589383945
630,126733863807
631,46724581628
632,61474768742
633,59797137541
634,62589383945
635,62589383945
636,61477462725
637,46724581628
638,62589383945
639,62589383945
640,64322688885
641,64322688885
642,61477462725
643,1247946079222485
644,46724581628
645,46724581628
646,60556557005
647,46724581628
648,73019156532
649,46724581628
650,46724581628
651,46724581628
652,58527617970
653,46724581628
654,62589461265
655,46724581628
656,46724581628
657,46724584708
658,58527617970
659,46724581628
660,126733864207
661,62589383945
662,58613330770
663,63912889335
664,65960618775
665,46724581628
666,65960618775
667,58527617970
668,46724585188
669,46724581628
670,1254543149309611
671,61477462725
672,126242467572
673,46724581628
674,126733863807
675,68652743208
676,58527617970
677,73019156532
678,46724581628
679,46724581628
680,46724581628
681,62589383945
682,62589383945
683,46724585188
684,46724581628
685,46724587148
686,62589383945
687,46724581628
688,69331918055
689,58613330770
690,126733863807
691,46724581628
692,65960618775
693,69331918055
694,62589383945
695,64092327965
696,62589383945
697,46724581628
698,61477462725
699,63912889335
700,58613330770
701,46724581628
702,63912889335
703,46724581628
704,46724581628
705,58527968130
706,46724581628
707,62589383945
708,63912889335
709,46724581628
710,62589383945
711,46724581628
712,46724581628
713,46724585188
714,65960618775
715,64629789553
716,126242467572
717,60556557005
718,67277037573
719,1243548094585521
720,67277037573
721,46724581628
722,46724587148
723,46724581628
724,65960618775
725,63466490776
726,1243548094585521
727,62589383945
728,63912889335
729,65960618775
730,64092327965
731,46724581628
732,46724581628
733,46724581628
734,46724581628
735,61477462725
736,46724581628
737,65960618775
738,62589383945
739,46724585188
740,62589383945
741,46724581628
742,62589383945
743,68652743208
744,62613040523
745,46724587148
746,56880991425
747,46724581628
748,126733863807
749,58613330770
750,56880991425
751,46724581628
752,46724581628
753,63912889335
754,46724581628
755,62589383945
756,46724585188
757,46724581628
758,46724581628
759,62699238226
760,68652743168
761,46724581628
762,46724585188
763,46724581628
764,68652743208
765,46724585188
766,46724581428
767,126733863807
768,68652743208
769,126242467572
770,46724581628
771,46724581628
772,126242467412
773,62589383945
774,46724581628
775,46724581628
776,73019156532
777,61477462725
778,46724581628
779,58527617970
780,46724581628
781,46724581428
782,67277037573
783,46724581628
784,67277037573
785,62589383945
786,46724581628
787,46724581628
788,65960618775
789,62589383945
790,61474768742
791,46724584708
792,61474768742
793,46724581628
794,46724581628
795,58613330770
796,46724581628
797,68652743168
798,46724581628
799,46724581628
800,73019156532
801,46724581628
802,58613330770
803,46724581628
804,46724581628
805,68652743208
806,46724581628
807,46724581628
808,62589383945
809,46724581628
810,62589383945
811,62589482065
812,46724581628
813,118216881010
814,126242467572
815,46724581628
816,68563611488
817,46724581628
818,58613330770
819,63912889335
820,73019156532
821,46724587148
822,62589383945
823,118216881010
824,46724581628
825,118216881010
826,62589383945
827,46724581628
828,46724581628
829,46724581428
830,46724581628
831,46724581428
832,67275878133
833,54995537263
834,46724581628
835,61477462725
836,46724581628
837,62589383945
838,46724581628
839,67275878133
840,46724581628
841,62589383945
842,54995537223
843,64092327565
844,126733863807
845,46724585188
846,46724581628
847,46724581628
848,62589383945
849,46724581628
850,65960618775
851,46724581628
852,46724581628
853,62589383945
854,62589383945
855,46724581628
856,46724581628
857,64629789553
858,64092327565
859,46724581628
860,46724581628
861,62589383945
862,58613330770
863,62589383945
864,46724587148
865,46724584708
