,campaña
0,732187328
1,1646697023
2,1648648995
3,1648648995
4,732187328
5,1648174978
6,13352855428
7,1724235562
8,13352768128
9,732187328
10,732187328
11,732401028
12,13352768128
13,1648648995
14,1648646316
15,732187328
16,732187328
17,1648646316
18,732187328
19,1725352245
20,1648648995
21,1042446156
22,732187328
23,1648648995
24,1042446156
25,1042446156
26,1646744098
27,732401028
28,732187328
29,732187328
30,1648648995
31,1648648995
32,732187328
33,12758678095
34,1648648995
35,1439144636
36,1648648995
37,732187328
38,732187328
39,1783520608
40,1054206170
41,1648646316
42,732187328
43,732187328
44,732187328
45,1648648995
46,1648181896
47,1439144636
48,11378120103
49,1704160543
50,1042446156
51,1647220734
52,1648648995
53,732187328
54,732187328
55,1648646316
56,732187328
57,732187328
58,1690173969
59,1648649016
60,1648174978
61,732187328
62,732187328
63,732187328
64,732187328
65,1725352245
66,732401169
67,732187328
68,1648648995
69,732187328
70,732187355
71,732187355
72,10584328482
73,732187328
74,732187328
75,12758678095
76,1685819696
77,732187328
78,732187328
79,1724235562
80,13352768134
81,13461666926
82,1042446162
83,1648648995
84,1439144774
85,1054206170
86,732187349
87,732187355
88,1042446162
89,1042446162
90,732187340
91,1685819708
92,12758678107
93,1685819708
94,732187328
95,1648648995
96,732187328
97,1648648995
98,1648648995
99,13352768134
100,732187328
101,1648181896
102,732187355
103,732187328
104,1646697023
105,732187328
106,732187328
107,732187328
108,732187328
109,1042446162
110,1783520608
111,732187328
112,732187328
113,1439144636
114,13352768134
115,732187328
116,732187328
117,1439144636
118,732187328
119,1646697566
120,732401169
121,1439144636
122,1439144636
123,1439144636
124,1439144636
125,1646697023
126,1042446156
127,732187328
128,1648648995
129,732187328
130,1725352245
131,732187328
132,1648181896
133,732187328
134,1647220776
135,1648648995
136,1648646316
137,732187328
138,1647220776
139,732187328
140,732187355
141,1054206170
142,732401028
143,1648648995
144,1042446162
145,732187328
146,732187328
147,732187328
148,732187328
149,1648646316
150,732187328
151,732401028
152,1691163013
153,732187328
154,732187328
155,1648649016
156,1691163013
157,13352855428
158,2083803500
159,732401028
160,11378120103
161,732187328
162,1648648995
163,732187328
164,732187328
165,1648650846
166,1691163022
167,732187328
168,1042446156
169,1691163013
170,1042446162
171,1042446138
172,732401028
173,732187328
174,1647220776
175,1647220776
176,13352855434
177,10584328479
178,732187328
179,13352855428
180,1648648995
181,732187328
182,1648648995
183,732187328
184,732187328
185,1648648995
186,732187328
187,1648646316
188,732187328
189,1042446156
190,1646744086
191,732187328
192,2083803500
193,1646697566
194,732187328
195,732401028
196,1648650846
197,1648646316
198,732187328
199,1648648995
200,1783520608
201,1648648995
202,1042446156
203,1648648995
204,1648648995
205,1648648995
206,1648648995
207,1648650846
208,1648646316
209,1648648995
210,1648650846
211,732187328
212,1685819696
213,1648649016
214,2083803500
215,732187328
216,1725306945
217,1648649016
218,732187328
219,1724235562
220,732187328
221,1648646316
222,1646697023
223,732187328
224,732187328
225,732187328
226,1648648995
227,732187328
228,1648646316
229,732401028
230,732187355
231,732187328
232,732187328
233,732187328
234,732187355
235,1647220776
236,1647220776
237,732187355
238,732187328
239,1648174978
240,1647220728
241,732187355
242,1648648995
243,732187328
244,732187328
245,732187328
246,732187328
247,732187328
248,732187328
249,1439144636
250,1648646316
251,732187328
252,1648648995
253,732187328
254,732187328
255,13352855428
256,1648140644
257,1648648995
258,732187328
259,732187328
260,732187328
261,1647220776
262,732187328
263,732187328
264,1439144774
265,1648181896
266,732401028
267,732187328
268,1648648995
269,1647220776
270,732187355
271,1648646316
272,1647220776
273,1647220776
274,1648648995
275,13352855428
276,732187328
277,1648648995
278,732187328
279,1648646316
280,1648181896
281,1646744098
282,732187328
283,732187328
284,732187328
285,1648646316
286,1648648995
287,732187355
288,732187328
289,732187328
290,732187328
291,732187328
292,732187328
293,1648648995
294,732187328
295,732187328
296,1648181896
297,1648646316
298,732187328
299,13352855428
300,1648648995
301,1646697566
302,1690173969
303,1690173969
304,732187328
305,732187328
306,732187355
307,732187328
308,732187328
309,1648648995
310,1648181896
311,732187328
312,6513709873
313,1647220776
314,1648648995
315,732187328
316,732187328
317,732187355
318,732187328
319,1647220776
320,13352855428
321,1647220776
322,1647220776
323,13352855428
324,732401028
325,1042446156
326,1724235562
327,1725352245
328,1648181896
329,13352855428
330,732401028
331,732401028
332,1725352245
333,1648648995
334,732187328
335,1685819708
336,732401028
337,732401028
338,732187328
339,1647220776
340,732187328
341,732187328
342,1648648995
343,1646697020
344,732187328
345,1648648995
346,1648648995
347,732187328
348,1648648995
349,1648646316
350,1647220776
351,732187328
352,732187328
353,732187328
354,1646697566
355,1646744098
356,732187328
357,1648140392
358,732187328
359,732187328
360,732187328
361,732187328
362,732187328
363,732187328
364,1648648995
365,732187328
366,1646697023
367,732187328
368,732187328
369,732187328
370,1648648995
371,732187328
372,732187328
373,732187328
374,1648648995
375,732187328
376,1646744098
377,732187328
378,732187328
379,732187328
380,1648648995
381,1646697566
382,732187328
383,1646744098
384,1648648995
385,732187355
386,1648140227
387,1648181896
388,732187328
389,732187328
390,732187328
391,1648648995
392,732187328
393,732187328
394,1648181896
395,1648648995
396,1648648995
397,1648648995
398,732187349
399,732401028
400,1648181896
401,1648174978
402,732187328
403,732187328
404,1648648995
405,732187328
406,1648648995
407,1648648995
408,1647220698
409,1648646316
410,732187328
411,1685819702
412,732187328
413,732187328
414,732187328
415,732187328
416,732187328
417,1648648995
418,1648646316
419,1724638222
420,732187328
421,1646697566
422,1042446156
423,10584328479
424,1648648995
425,1648648995
426,1648648995
427,1648646316
428,732187355
429,1648648995
430,1439144774
431,1648648995
432,1646697023
433,1647220698
434,732187328
435,1648648995
436,732187328
437,732187328
438,732187328
439,1648648995
440,732187328
441,732187328
442,732187328
443,1648649016
444,732187328
445,732187328
446,732187328
447,1648649016
448,732401031
449,11378120103
450,1648646316
451,732187328
452,1648648995
453,1646697023
454,1648648995
455,732187328
456,1647220776
457,1648181896
458,1648646316
459,1647220776
460,732187328
461,732187328
462,1647220776
463,732401028
464,732401028
465,732187328
466,1648646316
467,1648648995
468,1646697023
469,732187328
470,1648646316
471,732187328
472,1054206170
473,1648140647
474,1648646316
475,1042446156
476,732187328
477,1042446156
478,732187349
479,732187328
480,1648646316
481,732187328
482,1648140647
483,732401028
484,1648648995
485,732187328
486,1648648995
487,1648646316
488,732401028
489,1648648995
490,1648648995
491,1648648995
492,732401028
493,732187328
494,732187328
495,1648646316
496,1648181896
497,732187328
498,732187328
499,1648648995
500,1648181896
501,1646697023
502,732401028
503,732187328
504,732187328
505,1725352245
506,732187328
507,732187328
508,732187328
509,732187328
510,732401028
511,1648648995
512,732401028
513,1647220776
514,732401028
515,732187328
516,1646697566
517,732187328
518,732187328
519,732401028
520,732187328
521,1646697566
522,1486016055
523,1685819702
524,1646697566
525,1486016055
526,732187328
527,1648181896
528,1725352245
529,732187328
530,732187349
531,1648648995
532,732187328
533,1646744098
534,732187355
535,732187355
536,732401031
537,1648648995
538,1646697023
539,732187328
540,732187328
541,732187328
542,732401169
543,1646697566
544,1648648995
545,1648648995
546,1685819696
547,732187328
548,1439144636
549,1486016055
550,1646697566
551,732187328
552,1648181896
553,1725352245
554,732187328
555,732187328
556,1725352245
557,732187328
558,1648140392
559,1648140392
560,1648174978
561,1439144636
562,1648648995
563,1783520608
